"序号","空间ID","国家地区","空间名称","登记楼层数","进入方式","层间通行","入口X_米","入口Y高度_米","入口Z_米","室内X_米","室内Y高度_米","室内Z_米","各层地板高度_米","宽X_米","高Y_米","深Z_米","游览说明"
"18","it_street_12","意大利 · 罗马","意式烘焙屋","4","步行穿过真实门洞","实体楼梯","139.25","0.23","-72","142.25","0.28","-72","0.23 / 3.33 / 6.43 / 9.53","10.5","12.4","14","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"19","it_street_13","意大利 · 罗马","古币陈列馆","3","步行穿过真实门洞","实体楼梯","139.25","0.23","-92","142.25","0.28","-92","0.23 / 3.33 / 6.43","10.5","9.3","14","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"20","it_street_14","意大利 · 罗马","罗马旅客会馆","4","步行穿过真实门洞","实体楼梯","139.25","0.23","-113","142.25","0.28","-113","0.23 / 3.33 / 6.43 / 9.53","10.5","12.4","14","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"21","CH_CHALET_01","瑞士 · 阿尔卑斯","阿尔卑斯木屋 01","2","步行穿过真实门洞","实体楼梯","-129","0.1","127.7","-129","0.15","124.7","0.1 / 3.365","10.6","6.53","10.4","阿尔卑斯木屋；木板墙、阳台与乡村生活陈设"
"22","CH_CHALET_02","瑞士 · 阿尔卑斯","阿尔卑斯木屋 02","2","步行穿过真实门洞","实体楼梯","-109","0.1","129.5","-109","0.15","126.5","0.1 / 3.465","11.8","6.73","10","阿尔卑斯木屋；木板墙、阳台与乡村生活陈设"
"23","CH_CHALET_03","瑞士 · 阿尔卑斯","阿尔卑斯木屋 03","2","步行穿过真实门洞","实体楼梯","-72","0.1","128.9","-72","0.15","125.9","0.1 / 3.415","12","6.63","10.8","阿尔卑斯木屋；木板墙、阳台与乡村生活陈设"
"24","CH_CHALET_04","瑞士 · 阿尔卑斯","阿尔卑斯木屋 04","2","步行穿过真实门洞","实体楼梯","-51","0.1","126.8","-51","0.15","123.8","0.1 / 3.315","10","6.43","10.6","阿尔卑斯木屋；木板墙、阳台与乡村生活陈设"
"25","CH_CHALET_05","瑞士 · 阿尔卑斯","阿尔卑斯木屋 05","2","步行穿过真实门洞","实体楼梯","-123","0.1","98.8","-123","0.15","95.8","0.1 / 3.39","10.8","6.58","10.6","阿尔卑斯木屋；木板墙、阳台与乡村生活陈设"
"26","CH_CHALET_06","瑞士 · 阿尔卑斯","阿尔卑斯木屋 06","2","步行穿过真实门洞","实体楼梯","-106","0.1","96.15","-106","0.15","93.15","0.1 / 3.265","10.2","6.33","9.3","阿尔卑斯木屋；木板墙、阳台与乡村生活陈设"
"27","CH_CHALET_07","瑞士 · 阿尔卑斯","阿尔卑斯木屋 07","2","步行穿过真实门洞","实体楼梯","-73","0.1","96.6","-73","0.15","93.6","0.1 / 3.465","11.6","6.73","10.2","阿尔卑斯木屋；木板墙、阳台与乡村生活陈设"
"28","CH_CHALET_08","瑞士 · 阿尔卑斯","阿尔卑斯木屋 08","2","步行穿过真实门洞","实体楼梯","-53","0.1","88.5","-53","0.15","85.5","0.1 / 3.315","9.6","6.43","10","阿尔卑斯木屋；木板墙、阳台与乡村生活陈设"
"29","CH_CHURCH","瑞士 · 阿尔卑斯","山村教堂","1","步行穿过真实门洞","单层登记空间","-141","0.12","94.4","-141","0.12","87.6","0.1","7.8","7.42","13","教堂空间；礼拜座席或钟楼观景空间"
"30","CH_CHURCH_TOWER","瑞士 · 阿尔卑斯","教堂钟楼观景室","1","E 升降机互动","单层登记空间","-141","0.12","82","-141","10.19","91.2","10.11","3.5","4.15","3.5","教堂空间；礼拜座席或钟楼观景空间"
"31","DE_PALAS","德国 · 巴伐利亚","王宫主楼","5","步行穿过真实门洞","实体楼梯","86","12.31","71","83","12.36","71","12.31 / 17.91 / 23.51 / 29.11 / 34.71","19","28","35","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
"32","DE_KNIGHTS","德国 · 巴伐利亚","骑士宫","3","步行穿过真实门洞","实体楼梯","103.45","12.31","78","106.45","12.36","78","12.31 / 18.81 / 25.31","9.5","19.5","29","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
"33","DE_TOWER_NW","德国 · 巴伐利亚","西北圆塔观景室","1","E 升降机互动","单层登记空间","92","12.33","65","66.7","45.52","56","45.48","5.096","3.65","5.096","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
"34","DE_TOWER_SW","德国 · 巴伐利亚","西南圆塔观景室","1","E 升降机互动","单层登记空间","92","12.33","81","65.8","44.62","87.9","44.58","3.976","3.65","3.976","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
"35","DE_TOWER_NE","德国 · 巴伐利亚","王宫北圆塔观景室","1","E 升降机互动","单层登记空间","96","12.33","62.5","84","45.12","56","45.08","3.696","3.65","3.696","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
"36","DE_TOWER_E","德国 · 巴伐利亚","骑士宫圆塔观景室","1","E 升降机互动","单层登记空间","101","12.33","66","113.6","42.12","63.5","42.08","4.046","3.65","4.046","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
"37","DE_TOWER_S","德国 · 巴伐利亚","内院尖塔观景室","1","E 升降机互动","单层登记空间","100","12.33","90","105.1","35.92","92.28","35.88","2.156","3.65","2.156","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
"38","DE_KEEP","德国 · 巴伐利亚","王宫方塔","6","步行穿过真实门洞","实体楼梯","75.6","12.31","98.5","75.6","12.36","95.5","12.31 / 18.168 / 24.027 / 29.885 / 35.743 / 41.602","9.4","35.15","8.4","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
"39","DE_GATE_W","德国 · 巴伐利亚","西门楼卫兵馆","3","步行穿过真实门洞","E 层间升降机互动","89.25","12.3","102","89.25","12.35","105","12.3 / 16.393 / 20.487","8.9","12.28","5.7","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
"40","DE_GATE_E","德国 · 巴伐利亚","东门楼历史馆","3","步行穿过真实门洞","E 层间升降机互动","107.25","12.3","102","107.25","12.35","105","12.3 / 16.393 / 20.487","9.9","12.28","5.7","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
"41","DE_GATE_LOFT","德国 · 巴伐利亚","门楼徽章陈列厅","1","E 升降机互动","单层登记空间","98","12.33","100.8","98","19.62","106.35","19.58","7.5","4.75","4.65","巴伐利亚城堡空间；石材、木饰面与宫室陈设"
